Gene,Log2FC,sd.Log2FC
ALX1,3.07038163,NA
ARL14,6.000084113,NA
BNC1,5.787100781,NA
C15orf41,1.670962354,NA
CALB1,6.468935711,NA
COL17A1,4.699363716,NA
DUOX1,3.700492694,NA
DUOXA1,2.597694111,NA
EPSTI1,3.24940425,NA
FAM83A,3.223309086,NA
FGFBP1,4.15095435,NA
FMN1,-2.821663023,NA
FOXQ1,5.362851293,NA
GBGT1,2.715240366,NA
GJB6,7.878851979,NA
GPRIN2,3.064052044,NA
IL1A,4.93390123,NA
IL1B,3.238653422,NA
IRX5,-5.524136075,NA
KANK4,4.913356922,NA
KCNJ15,4.528788081,NA
KLHDC7B,3.363658348,NA
KLK10,7.031228199,NA
KRT6A,6.324023961,NA
LAMA4,2.861048824,NA
LAMC2,5.624538694,NA
LCK,3.339840594,NA
LIN28B,4.119297935,NA
LRP3,-3.351706387,NA
LTBP2,2.919406415,NA
LY75,4.930794439,NA
MAGEA4,5.565672241,NA
MSLN,5.6275935,NA
MX2,2.928255768,NA
MYBPC2,2.199598576,NA
NLRP1,4.229460573,NA
SCAND1,-1.840608125,NA
SLC1A6,3.700621883,NA
SLCO1B3,5.377651385,NA
SOX15,5.347690703,NA
TAAR8,2.451329599,NA
TMEM71,5.314050373,NA
TNFAIP3,3.959115895,NA
WNT10A,5.394016114,NA
ZFP57,3.254687356,NA
ZNF597,-3.371152745,NA
ZNF609,-2.094530372,NA
ZNF77,-3.520231421,NA
ZNF771,-1.556885704,NA